@relation 'P1BotAgent-freq_1-1803_120855-training-weka.filters.unsupervised.attribute.Remove-R1-8,21-26,33-36,38-40-weka.filters.unsupervised.attribute.Remove-R1-3,7-9'

@attribute nearestEnemyRightDistance numeric
@attribute nearestEnemyRight_X numeric
@attribute nearestEnemyRight_Y numeric
@attribute nearestBlockRightDistance numeric
@attribute nearestBlockRight_X numeric
@attribute nearestBlockRight_Y numeric
@attribute enemyNearRight {0,1}
@attribute blockNearRight {0,1}
@attribute enemyAheadOnFloorHeight {0,1}
@attribute blockAheadOnFloorHeight {0,1}
@attribute isMarioOnGround {0,1}
@attribute isMarioAbleToJump {0,1}
@attribute isSlopeDown {0,1}
@attribute actionKey {0,1,2,3}

@data
4,13,9,1,10,9,0,1,0,1,0,1,0,2
4,13,9,1,10,9,0,1,0,1,0,0,0,3
4,13,9,1,10,9,0,1,0,1,0,0,0,3
4,13,9,1,10,9,0,1,0,1,1,0,0,3
4,13,9,1,10,9,0,1,0,1,1,1,0,2
3,12,9,1,10,9,0,1,0,1,0,0,0,3
3.162,12,10,2.236,10,7,0,0,0,1,0,0,0,3
3.162,12,10,2.236,10,7,0,0,0,1,0,0,0,3
3.162,12,10,2.236,10,7,0,0,0,1,1,0,0,3
3.162,12,10,2.236,10,7,0,0,0,1,1,1,0,2
2.236,11,10,2.236,10,7,0,0,1,1,1,1,1,2
2.236,11,10,2.236,10,7,0,0,1,1,1,1,1,2
2.236,11,10,2.236,10,7,0,0,1,1,1,1,1,2
2.236,11,10,2.236,10,7,0,0,1,1,1,1,1,2
2.236,11,10,2.236,10,7,0,0,1,1,1,1,1,2
2.236,11,10,2.236,10,7,0,0,1,1,1,1,1,2
1.414,10,10,7.071,10,2,0,0,1,0,1,1,1,2
1.414,10,10,7.071,10,2,0,0,1,0,1,1,1,2
1.414,10,10,7.071,10,2,0,0,1,0,1,1,1,2
2.236,11,10,7.071,10,2,0,0,1,0,1,1,1,2
1.414,10,10,7.071,10,2,0,0,1,1,1,1,1,2
1.414,10,10,7.071,10,2,0,0,1,1,0,1,0,2
12.728,18,18,2,11,9,0,1,0,1,0,0,0,2
9.055,18,10,12.728,18,18,0,0,0,1,0,0,0,2
9.22,18,11,12.728,18,18,0,0,0,0,0,0,0,2
9,18,9,12.728,18,18,0,0,0,0,0,0,0,2
8,17,9,12.728,18,18,0,0,0,0,0,0,0,2
8,17,9,12.728,18,18,0,0,0,0,0,0,0,2
8.062,17,10,12.728,18,18,0,0,0,0,0,0,0,2
8,17,9,9,18,9,0,0,0,1,0,0,0,2
7,16,9,8,17,9,0,0,0,1,0,0,0,2
7.071,16,10,8,17,9,0,0,0,1,1,0,0,2
7.071,16,10,8,17,9,0,0,0,1,1,1,0,2
6.083,15,10,7,16,9,0,0,0,1,1,1,0,2
5.099,14,10,7,16,9,0,0,0,1,1,1,0,2
5.099,14,10,7,16,9,0,0,0,1,1,1,0,2
4.123,13,10,6,15,9,0,0,0,1,1,1,1,2
4.123,13,10,6,15,9,0,0,0,1,1,1,1,2
4.123,13,10,6,15,9,0,0,0,1,1,1,1,2
3.162,12,10,5,14,9,0,0,0,0,1,1,1,2
3.162,12,10,5,14,9,0,0,0,0,1,1,1,2
3.162,12,10,5,14,9,0,0,0,0,1,1,1,2
2.236,11,10,4,13,9,0,0,1,0,1,1,1,2
1,10,9,4,13,9,1,0,0,1,0,1,0,2
1,10,9,4,13,9,1,0,0,1,0,0,0,3
9,18,9,3,12,9,0,0,0,1,0,0,0,3
9.055,18,10,3,12,9,0,0,0,0,0,0,0,3
9.22,18,11,5.657,13,5,0,0,0,0,0,0,0,2
8.246,17,11,5,12,5,0,0,0,1,0,0,0,2
8.944,17,5,5,12,5,0,0,0,1,0,0,0,2
8.544,17,6,5,12,5,0,0,0,1,0,0,0,2
7.616,16,6,4.472,11,5,0,0,0,1,0,0,0,2
8.062,17,10,1,10,9,0,1,0,1,0,0,0,2
7.616,16,6,1,10,9,0,1,0,1,0,0,0,2
8,17,9,1,10,9,0,1,0,1,0,0,0,2
7.616,16,6,1,10,9,0,1,0,1,1,0,0,2
6.708,15,6,1,10,9,0,1,0,1,1,1,0,2
6.325,15,7,1,10,9,0,1,0,1,0,0,0,3
6,15,9,1,10,9,0,1,0,1,0,0,0,3
6.083,15,10,4.472,11,5,0,0,0,1,0,0,0,3
6.325,15,11,3.606,11,6,0,0,0,0,0,0,0,3
6.325,15,11,3.606,11,6,0,0,0,0,0,0,0,2
6.325,15,11,3.606,11,6,0,0,0,0,0,0,0,2
5.385,14,11,3.162,10,6,0,0,0,0,0,0,0,2
5.385,14,11,3.162,10,6,0,0,0,0,0,0,0,2
4.123,13,10,4.123,10,5,0,0,0,1,0,0,0,2
